Population,Town,State,Latitude,Longitude,Retailer,General,News,Educational,Juvenile,DepartmentStore,DrugStore,GiftStore,CirculatingLibrary,SecondHand,OldandRare,Medical,Law,Religious,Foreign,Wholesale,Music,X
2597,Westwood,NEW JERSEY,40.9912087,-74.0326395,"Waller, W. E. (R. W. Myers) D",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d
5000,Wildwood,NEW JERSEY,38.9917797,-74.8148894,"Aarons, Horace H., Pacific Ave. G",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g
5000,Wildwood,NEW JERSEY,38.9917797,-74.8148894,"The Camera Shop (H. L. Tushingham), 210 E. Oak Ave. GGiECJN",1,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,ghecjn
11020,Albuquerque,NEW MEXICO,35.0843859,-106.650422,"Baptist Book Dept. (C. W. Stumph), Box 485 R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,r
11020,Albuquerque,NEW MEXICO,35.0843859,-106.650422,"Golden Rule Dry Goods Co., 301 W. Central St. D",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d
11020,Albuquerque,NEW MEXICO,35.0843859,-106.650422,"Harvey, Fred, Inc. G",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g
11020,Albuquerque,NEW MEXICO,35.0843859,-106.650422,"Ilfeld, Chas., Co. E",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e
11020,Albuquerque,NEW MEXICO,35.0843859,-106.650422,"Matson, O. A. GOEJN",1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,goejn
11020,Albuquerque,NEW MEXICO,35.0843859,-106.650422,"The New Mexico Bookstore (Pierre Miller), 203 W. Central Ave. GSOLCJ",1,NA,NA,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,gsolcj
11020,Albuquerque,NEW MEXICO,35.0843859,-106.650422,"Rosenwald Bros., 324 W. Central St. D",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,d
11020,Albuquerque,NEW MEXICO,35.0843859,-106.650422,"Strong's Book Store, 316 W. Central St. G",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,g
11020,Albuquerque,NEW MEXICO,35.0843859,-106.650422,Student's Varsity Shop E,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e
3755,Las Vegas,NEW MEXICO,35.5942137,-105.2227978,"Bailey, Mrs. C. L. M. N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
3755,Las Vegas,NEW MEXICO,35.5942137,-105.2227978,"Ilfeld, Chas., Co. E",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e
3755,Las Vegas,NEW MEXICO,35.5942137,-105.2227978,"Murphy Drug Co., cor. 6th & Douglas Sts. Dr.",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,u
4539,Raton,NEW MEXICO,36.9033581,-104.4391532,Sandusky Staty. Co. GGiOJN,1,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,ghojn
6172,Roswell,NEW MEXICO,33.3942655,-104.5230242,"Ayers News Stand, 114 W. 3rd St N",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,n
